type,q4,q6
1,3.71E-05,1.66E-04
1,3.70E-05,7.05E-06
0,3.68E-05,4.80E-05
0,3.66E-05,2.57E-05
0,3.65E-05,2.42E-05
0,3.64E-05,4.48E-06
0,3.62E-05,7.34E-05
1,3.62E-05,1.88E-05
1,3.61E-05,9.12E-05
1,3.60E-05,1.36E-04
1,3.59E-05,0.000117489
0,3.55E-05,6.49E-05
1,3.55E-05,2.31E-05
0,3.53E-05,1.55E-05
1,3.53E-05,8.15E-06
1,3.52E-05,7.64E-05
0,3.52E-05,1.89E-05
1,3.50E-05,1.92E-05
0,3.43E-05,8.68E-05
1,3.41E-05,3.23E-05
0,3.40E-05,1.48E-05
1,3.36E-05,7.49E-05
1,3.35E-05,5.62E-05
0,3.35E-05,4.55E-05
0,3.32E-05,1.04E-04
1,3.23E-05,3.63E-05
1,3.22E-05,5.63E-05
1,3.20E-05,2.47E-05
0,3.18E-05,1.54E-05
0,3.14E-05,1.40E-05
0,3.12E-05,4.03E-05
1,3.11E-05,6.54E-05
0,3.10E-05,2.89E-06
1,3.09E-05,5.77E-05
1,3.04E-05,6.70E-05
1,3.02E-05,9.53E-05
0,3.00E-05,2.69E-05
1,2.97E-05,6.19E-05
0,2.93E-05,1.64E-05
1,2.92E-05,6.80E-05
0,2.88E-05,4.58E-05
1,2.86E-05,2.02E-05
0,2.86E-05,1.26E-06
1,2.85E-05,6.93E-06
0,2.84E-05,6.43E-05
1,2.84E-05,6.41E-05
0,2.82E-05,2.22E-05
0,2.80E-05,0.000137392
1,2.79E-05,0.000114553
0,2.78E-05,8.57E-05
1,2.78E-05,3.75E-05
0,2.77E-05,2.00E-05
1,2.75E-05,0.000101789
0,2.74E-05,6.30E-05
0,2.74E-05,3.13E-05
1,2.73E-05,7.04E-05
1,2.71E-05,3.56E-05
0,2.70E-05,8.21E-06
1,2.67E-05,9.69E-05
0,2.65E-05,8.88E-05
1,2.64E-05,1.16E-04
1,2.63E-05,4.17E-05
0,2.62E-05,2.64E-05
1,2.60E-05,0.000137461
0,2.60E-05,3.43E-05
0,2.55E-05,6.00E-05
1,2.52E-05,9.19E-05
0,2.49E-05,1.40E-05
0,2.46E-05,3.17E-05
1,2.41E-05,0.000189221
0,2.41E-05,1.29E-05
0,2.39E-05,7.46E-05
0,2.37E-05,9.52E-05
0,2.36E-05,1.71E-06
0,2.35E-05,5.56E-05
1,2.33E-05,6.00E-05
1,2.29E-05,2.59E-05
1,2.27E-05,1.29E-04
0,2.26E-05,3.93E-05
0,2.25E-05,7.64E-06
1,2.23E-05,7.16E-05
0,2.22E-05,2.54E-05
0,2.20E-05,5.39E-05
0,2.19E-05,3.18E-05
1,2.14E-05,6.55E-05
1,2.13E-05,9.09E-05
1,2.11E-05,4.34E-05
1,2.11E-05,2.29E-05
1,2.09E-05,5.06E-05
1,2.07E-05,1.58E-04
0,2.07E-05,1.26E-04
0,2.04E-05,1.16E-05
1,2.02E-05,1.26E-04
1,2.01E-05,5.89E-06
1,1.98E-05,2.43E-05
0,1.94E-05,6.93E-05
1,1.92E-05,9.19E-05
1,1.90E-05,0.000162401
1,1.90E-05,1.33E-04
0,1.89E-05,2.13E-05
0,1.84E-05,6.38E-05
1,1.82E-05,9.57E-05
0,1.82E-05,3.93E-05
0,1.81E-05,9.58E-05
0,1.80E-05,1.56E-05
1,1.79E-05,9.03E-05
0,1.75E-05,1.95E-05
0,1.71E-05,3.75E-05
0,1.70E-05,1.05E-04
0,1.67E-05,4.19E-05
1,1.64E-05,0.000118447
0,1.63E-05,5.92E-05
0,1.62E-05,1.15E-04
1,1.60E-05,0.000182071
0,1.53E-05,5.09E-05
1,1.52E-05,5.34E-05
0,1.51E-05,7.13E-05
1,1.51E-05,6.66E-05
1,1.50E-05,4.46E-05
0,1.50E-05,3.93E-05
1,1.49E-05,2.31E-05
1,1.47E-05,1.39E-04
1,1.42E-05,5.05E-05
1,1.40E-05,2.92E-05
1,1.33E-05,6.97E-05
1,1.32E-05,2.17E-04
0,1.30E-05,1.42E-05
1,1.30E-05,1.13E-05
0,1.28E-05,1.87E-05
0,1.26E-05,6.12E-05
0,1.25E-05,3.69E-05
0,1.24E-05,3.02E-05
1,1.23E-05,6.63E-07
1,1.21E-05,2.06E-05
1,1.20E-05,5.03E-05
0,1.19E-05,2.84E-05
0,1.16E-05,1.55E-05
0,1.15E-05,1.94E-05
0,1.14E-05,3.03E-05
1,1.13E-05,9.97E-05
1,1.13E-05,2.81E-05
0,1.10E-05,2.97E-05
0,1.09E-05,8.74E-05
0,1.09E-05,4.17E-05
0,1.08E-05,8.61E-06
1,1.06E-05,3.57E-05
1,1.03E-05,2.28E-05
0,1.01E-05,0.000111239
1,9.88E-06,1.24E-05
0,9.68E-06,1.47E-06
1,9.54E-06,1.06E-04
1,9.40E-06,0.000109157
0,9.31E-06,1.19E-05
0,9.29E-06,3.18E-05
0,8.92E-06,6.27E-05
1,8.92E-06,4.85E-05
1,8.87E-06,1.16E-04
0,8.71E-06,1.87E-05
1,8.70E-06,0.000110737
0,8.66E-06,4.26E-05
0,8.56E-06,8.25E-06
1,8.49E-06,9.14E-06
0,8.35E-06,1.81E-05
0,8.11E-06,5.44E-05
0,8.11E-06,5.66E-06
1,8.07E-06,3.39E-05
0,8.03E-06,0.000120564
0,7.93E-06,2.27E-05
0,7.87E-06,2.31E-06
1,7.72E-06,2.76E-05
0,7.52E-06,3.24E-05
0,7.43E-06,0.000145709
0,7.32E-06,3.46E-05
0,7.27E-06,2.47E-05
0,7.16E-06,6.85E-05
0,6.43E-06,6.84E-05
0,6.37E-06,4.06E-06
0,6.33E-06,5.57E-05
1,5.86E-06,2.80E-04
0,5.79E-06,1.29E-05
1,5.72E-06,2.47E-05
1,5.68E-06,3.23E-05
0,5.38E-06,5.23E-05
0,5.28E-06,5.77E-05
0,4.90E-06,2.21E-05
0,4.65E-06,5.29E-05
0,4.37E-06,6.96E-07
0,4.19E-06,3.03E-05
1,4.14E-06,1.20E-04
1,3.38E-06,5.69E-05
1,3.34E-06,3.54E-06
1,3.22E-06,1.18E-04
0,2.98E-06,5.94E-05
0,2.86E-06,1.52E-05
0,2.48E-06,1.41E-05
1,2.44E-06,4.57E-05
1,2.42E-06,7.36E-05
1,2.28E-06,5.26E-05
1,2.17E-06,8.89E-05
1,2.05E-06,4.94E-05
1,1.84E-06,0.000103132
1,1.50E-06,2.36E-05
0,1.30E-06,4.42E-05
0,1.18E-06,6.36E-05
0,1.15E-06,3.48E-05
1,8.84E-07,4.01E-07
0,6.56E-07,5.46E-05
0,6.26E-07,9.49E-05
1,6.01E-07,8.10E-05
0,5.96E-07,1.81E-05
0,5.59E-07,5.37E-05
0,5.22E-07,1.08E-05
1,4.71E-07,5.50E-05
